quarter_day,feature,shap_value,updated_at
2022Q4_day4,earnings surprise pct,1.812284981,2026-04-30 38:31:0
2022Q4_day4,actual eps,1.328983854,2026-04-30 38:31:0
2022Q4_day4,operating margin,-0.002391792,2026-04-30 38:31:0
2022Q4_day4,guidance surprise pct,1.687966483,2026-04-30 38:31:0
2022Q4_day4,guidance eps,0.846420985,2026-04-30 38:31:0
2022Q4_day4,china rev yoy,-0.25838526,2026-04-30 38:31:0
2022Q4_day4,revenue qoq,0.456937223,2026-04-30 38:31:0
2022Q4_day4,beta sp500,0.161673013,2026-04-30 38:31:0
2022Q4_day4,beta sp500 it,-0.311173846,2026-04-30 38:31:0
2022Q4_day4,beta nasdaq,-0.057101603,2026-04-30 38:31:0
2022Q4_day4,cadence return 30d,-0.262685476,2026-04-30 38:31:0
2022Q4_day4,siemens return 30d,-0.414839919,2026-04-30 38:31:0
2022Q4_day4,vix,0.063088774,2026-04-30 38:31:0
2022Q4_day4,vix change 30d,0.55470832,2026-04-30 38:31:0
2022Q4_day4,high volatility,-1.099283787,2026-04-30 38:31:0
2022Q4_day4,cpi,0.168890771,2026-04-30 38:31:0
2022Q4_day4,unemployment rate,-0.195192771,2026-04-30 38:31:0
2022Q4_day4,analyst sentiment score,-0.79227523,2026-04-30 38:31:0
2022Q4_day4,analyst consensus strength,-0.177718177,2026-04-30 38:31:0
2022Q4_day4,analyst bullish ratio,-0.259197231,2026-04-30 38:31:0
2022Q4_day5,analyst bearish ratio,0.014556488,2026-04-30 38:31:0
2022Q4_day5,analyst coverage,-0.249285035,2026-04-30 38:31:0
2022Q4_day5,analyst rating momentum,0.081137048,2026-04-30 38:31:0
2022Q4_day5,analyst positive momentum,-0.015071433,2026-04-30 38:31:0
2022Q4_day5,analyst price target upside,0.102210391,2026-04-30 38:31:0
2022Q4_day5,reaction days,-0.031512732,2026-04-30 38:31:0
2022Q4_day5,cortex sentiment,-0.846062798,2026-04-30 38:31:0
2022Q4_day5,earnings surprise pct,1.253234735,2026-04-30 38:31:0
2022Q4_day5,actual eps,1.100550313,2026-04-30 38:31:0
2022Q4_day5,operating margin,-0.293266573,2026-04-30 38:31:0
2022Q4_day5,guidance surprise pct,0.859599383,2026-04-30 38:31:0
2022Q4_day5,guidance eps,1.250832274,2026-04-30 38:31:0
2022Q4_day5,china rev yoy,-0.500821584,2026-04-30 38:31:0
2022Q4_day5,revenue qoq,0.163008058,2026-04-30 38:31:0
2022Q4_day5,beta sp500,-0.198787128,2026-04-30 38:31:0
2022Q4_day5,beta sp500 it,0.171179601,2026-04-30 38:31:0
2022Q4_day5,beta nasdaq,-0.228977747,2026-04-30 38:31:0
2022Q4_day5,cadence return 30d,-0.54146463,2026-04-30 38:31:0
2022Q4_day5,siemens return 30d,-0.488262731,2026-04-30 38:31:0
2022Q4_day5,vix,-0.375957527,2026-04-30 38:31:0
2022Q4_day5,vix change 30d,-0.270138749,2026-04-30 38:31:0
2022Q4_day5,high volatility,-0.852158313,2026-04-30 38:31:0
2022Q4_day5,cpi,0.191577738,2026-04-30 38:31:0
2022Q4_day5,unemployment rate,-0.498456019,2026-04-30 38:31:0
2022Q4_day5,analyst sentiment score,-0.539647879,2026-04-30 38:31:0
2022Q4_day5,analyst consensus strength,-0.36330486,2026-04-30 38:31:0
2022Q4_day5,analyst bullish ratio,-0.195550832,2026-04-30 38:31:0
2022Q4_day6,analyst bearish ratio,0.014219601,2026-04-30 38:31:0
2022Q4_day6,analyst coverage,-0.25812401,2026-04-30 38:31:0
2022Q4_day6,analyst rating momentum,-0.115366663,2026-04-30 38:31:0
2022Q4_day6,analyst positive momentum,0.301887843,2026-04-30 38:31:0
2022Q4_day6,analyst price target upside,0.034621626,2026-04-30 38:31:0
2022Q4_day6,reaction days,0.317138422,2026-04-30 38:31:0
2022Q4_day6,cortex sentiment,-1.177824113,2026-04-30 38:31:0
2022Q4_day6,earnings surprise pct,1.117882507,2026-04-30 38:31:0
2022Q4_day6,actual eps,1.664941172,2026-04-30 38:31:0
2022Q4_day6,operating margin,-0.74149335,2026-04-30 38:31:0
2022Q4_day6,guidance surprise pct,0.321862847,2026-04-30 38:31:0
2022Q4_day6,guidance eps,1.146243276,2026-04-30 38:31:0
2022Q4_day6,china rev yoy,-0.060913616,2026-04-30 38:31:0
2022Q4_day6,revenue qoq,0.111343762,2026-04-30 38:31:0
2022Q4_day6,beta sp500,-0.181195556,2026-04-30 38:31:0
2022Q4_day6,beta sp500 it,0.025976936,2026-04-30 38:31:0
2022Q4_day6,beta nasdaq,-0.046703171,2026-04-30 38:31:0
2022Q4_day6,cadence return 30d,0.350334618,2026-04-30 38:31:0
2022Q4_day6,siemens return 30d,0.076326253,2026-04-30 38:31:0
2022Q4_day6,vix,-0.231198669,2026-04-30 38:31:0
2022Q4_day6,vix change 30d,-0.605938483,2026-04-30 38:31:0
2022Q4_day6,high volatility,-0.643803112,2026-04-30 38:31:0
2022Q4_day6,cpi,-0.129767456,2026-04-30 38:31:0
2022Q4_day6,unemployment rate,0.118335643,2026-04-30 38:31:0
2022Q4_day6,analyst sentiment score,-0.752590688,2026-04-30 38:31:0
2022Q4_day6,analyst consensus strength,0.086932457,2026-04-30 38:31:0
2022Q4_day6,analyst bullish ratio,0.62262024,2026-04-30 38:31:0
2022Q4_day7,analyst bearish ratio,0.261337411,2026-04-30 38:31:0
2022Q4_day7,analyst coverage,-0.09780706,2026-04-30 38:31:0
2022Q4_day7,analyst rating momentum,0.360364177,2026-04-30 38:31:0
2022Q4_day7,analyst positive momentum,-0.122422612,2026-04-30 38:31:0
2022Q4_day7,analyst price target upside,-0.257624907,2026-04-30 38:31:0
2022Q4_day7,reaction days,-0.051617262,2026-04-30 38:31:0
2022Q4_day7,cortex sentiment,-1.622475153,2026-04-30 38:31:0
2022Q4_day7,earnings surprise pct,0.58909191,2026-04-30 38:31:0
2022Q4_day7,actual eps,0.811051028,2026-04-30 38:31:0
2022Q4_day7,operating margin,0.502931194,2026-04-30 38:31:0
2022Q4_day7,guidance surprise pct,0.996156424,2026-04-30 38:31:0
2022Q4_day7,guidance eps,0.668539683,2026-04-30 38:31:0
2022Q4_day7,china rev yoy,0.248821674,2026-04-30 38:31:0
2022Q4_day7,revenue qoq,-0.663340593,2026-04-30 38:31:0
2022Q4_day7,beta sp500,0.070684367,2026-04-30 38:31:0
2022Q4_day7,beta sp500 it,0.231259558,2026-04-30 38:31:0
2022Q4_day7,beta nasdaq,-0.443575874,2026-04-30 38:31:0
2022Q4_day7,cadence return 30d,0.343126213,2026-04-30 38:31:0
2022Q4_day7,siemens return 30d,0.101548922,2026-04-30 38:31:0
2022Q4_day7,vix,-0.607643957,2026-04-30 38:31:0
2022Q4_day7,vix change 30d,-0.083609067,2026-04-30 38:31:0
2022Q4_day7,high volatility,0.735346429,2026-04-30 38:31:0
2022Q4_day7,cpi,0.054559877,2026-04-30 38:31:0
2022Q4_day7,unemployment rate,0.074466176,2026-04-30 38:31:0
2022Q4_day7,analyst sentiment score,-0.77561654,2026-04-30 38:31:0
2022Q4_day7,analyst consensus strength,-0.254953311,2026-04-30 38:31:0
2022Q4_day7,analyst bullish ratio,0.249100745,2026-04-30 38:31:0
2022Q4_day8,analyst bearish ratio,-0.256825148,2026-04-30 38:31:0
2022Q4_day8,analyst coverage,0.021469871,2026-04-30 38:31:0
2022Q4_day8,analyst rating momentum,-0.143297234,2026-04-30 38:31:0
2022Q4_day8,analyst positive momentum,0.143693948,2026-04-30 38:31:0
2022Q4_day8,analyst price target upside,0.216732421,2026-04-30 38:31:0
2022Q4_day8,reaction days,0.357507989,2026-04-30 38:31:0
2022Q4_day8,cortex sentiment,-0.806009839,2026-04-30 38:31:0
2022Q4_day8,earnings surprise pct,0.638075039,2026-04-30 38:31:0
2022Q4_day8,actual eps,0.212741771,2026-04-30 38:31:0
2022Q4_day8,operating margin,-0.133287978,2026-04-30 38:31:0
2022Q4_day8,guidance surprise pct,1.026380296,2026-04-30 38:31:0
2022Q4_day8,guidance eps,1.25419317,2026-04-30 38:31:0
2022Q4_day8,china rev yoy,-0.276649597,2026-04-30 38:31:0
2022Q4_day8,revenue qoq,0.260881776,2026-04-30 38:31:0
2022Q4_day8,beta sp500,0.406691358,2026-04-30 38:31:0
2022Q4_day8,beta sp500 it,0.124030471,2026-04-30 38:31:0
2022Q4_day8,beta nasdaq,0.563038744,2026-04-30 38:31:0
2022Q4_day8,cadence return 30d,-0.23213676,2026-04-30 38:31:0
2022Q4_day8,siemens return 30d,-0.373396411,2026-04-30 38:31:0
2022Q4_day8,vix,-1.289360124,2026-04-30 38:31:0
2022Q4_day8,vix change 30d,0.348022156,2026-04-30 38:31:0
2022Q4_day8,high volatility,-0.072817172,2026-04-30 38:31:0
2022Q4_day8,cpi,-0.016675401,2026-04-30 38:31:0
2022Q4_day8,unemployment rate,0.083990588,2026-04-30 38:31:0
2022Q4_day8,analyst sentiment score,-1.175293428,2026-04-30 38:31:0
2022Q4_day8,analyst consensus strength,0.733725594,2026-04-30 38:31:0
2022Q4_day8,analyst bullish ratio,0.038766355,2026-04-30 38:31:0
2022Q4_day9,analyst bearish ratio,0.032818438,2026-04-30 38:31:0
2022Q4_day9,analyst coverage,0.217729987,2026-04-30 38:31:0
2022Q4_day9,analyst rating momentum,0.14430277,2026-04-30 38:31:0
2022Q4_day9,analyst positive momentum,0.067165207,2026-04-30 38:31:0
2022Q4_day9,analyst price target upside,-0.008094891,2026-04-30 38:31:0
2022Q4_day9,reaction days,0.244293671,2026-04-30 38:31:0
2022Q4_day9,cortex sentiment,0.629214698,2026-04-30 38:31:0
2022Q4_day9,earnings surprise pct,1.607252028,2026-04-30 38:31:0
2022Q4_day9,actual eps,1.755911976,2026-04-30 38:31:0
2022Q4_day9,operating margin,-0.153364703,2026-04-30 38:31:0
2022Q4_day9,guidance surprise pct,0.206237108,2026-04-30 38:31:0
2022Q4_day9,guidance eps,0.724527848,2026-04-30 38:31:0
2022Q4_day9,china rev yoy,0.016717474,2026-04-30 38:31:0
2022Q4_day9,revenue qoq,0.328257456,2026-04-30 38:31:0
2022Q4_day9,beta sp500,-0.507739389,2026-04-30 38:31:0
2022Q4_day9,beta sp500 it,0.458865096,2026-04-30 38:31:0
2022Q4_day9,beta nasdaq,-0.04740237,2026-04-30 38:31:0
2022Q4_day9,cadence return 30d,-0.128064321,2026-04-30 38:31:0
2022Q4_day9,siemens return 30d,-0.303631313,2026-04-30 38:31:0
2022Q4_day9,vix,-1.227428336,2026-04-30 38:31:0
2022Q4_day9,vix change 30d,0.011585292,2026-04-30 38:31:0
2022Q4_day9,high volatility,-0.363341016,2026-04-30 38:31:0
2022Q4_day9,cpi,-0.38698827,2026-04-30 38:31:0
2022Q4_day9,unemployment rate,-0.388523632,2026-04-30 38:31:0
2022Q4_day9,analyst sentiment score,-0.70147082,2026-04-30 38:31:0
2022Q4_day9,analyst consensus strength,0.500706458,2026-04-30 38:31:0
2022Q4_day9,analyst bullish ratio,-0.077877405,2026-04-30 38:31:0
2022Q4_day10,analyst bearish ratio,-0.450942886,2026-04-30 38:31:0
2022Q4_day10,analyst coverage,-0.073722919,2026-04-30 38:31:0
2022Q4_day10,analyst rating momentum,-0.081817071,2026-04-30 38:31:0
2022Q4_day10,analyst positive momentum,-0.809065993,2026-04-30 38:31:0
2022Q4_day10,analyst price target upside,0.139141027,2026-04-30 38:31:0
2022Q4_day10,reaction days,0.103813094,2026-04-30 38:31:0
2022Q4_day10,cortex sentiment,-0.082276181,2026-04-30 38:31:0
2022Q4_day10,earnings surprise pct,1.909373657,2026-04-30 38:31:0
2022Q4_day10,actual eps,1.475939018,2026-04-30 38:31:0
2022Q4_day10,operating margin,-0.080666607,2026-04-30 38:31:0
2022Q4_day10,guidance surprise pct,0.136084455,2026-04-30 38:31:0
2022Q4_day10,guidance eps,2.344015882,2026-04-30 38:31:0
2022Q4_day10,china rev yoy,0.01776553,2026-04-30 38:31:0
2022Q4_day10,revenue qoq,0.004178788,2026-04-30 38:31:0
2022Q4_day10,beta sp500,-0.007237526,2026-04-30 38:31:0
2022Q4_day10,beta sp500 it,0.059425428,2026-04-30 38:31:0
2022Q4_day10,beta nasdaq,-0.043308124,2026-04-30 38:31:0
2022Q4_day10,cadence return 30d,-0.172098602,2026-04-30 38:31:0
2022Q4_day10,siemens return 30d,-0.164057682,2026-04-30 38:31:0
2022Q4_day10,vix,-0.416376635,2026-04-30 38:31:0
2022Q4_day10,vix change 30d,-0.671712386,2026-04-30 38:31:0
2022Q4_day10,high volatility,-0.756422891,2026-04-30 38:31:0
2022Q4_day10,cpi,0.031929068,2026-04-30 38:31:0
2022Q4_day10,unemployment rate,-0.076493165,2026-04-30 38:31:0
2022Q4_day10,analyst sentiment score,0.402395793,2026-04-30 38:31:0
2022Q4_day10,analyst consensus strength,-0.795290943,2026-04-30 38:31:0
2022Q4_day10,analyst bullish ratio,0.327452056,2026-04-30 38:31:0
2023Q1_day1,analyst bearish ratio,0.373825558,2026-04-30 38:31:0
2023Q1_day1,analyst coverage,-0.62201707,2026-04-30 38:31:0
2023Q1_day1,analyst rating momentum,-0.102806278,2026-04-30 38:31:0
2023Q1_day1,analyst positive momentum,-0.11143226,2026-04-30 38:31:0
2023Q1_day1,analyst price target upside,-0.131502339,2026-04-30 38:31:0
2023Q1_day1,reaction days,-0.005563338,2026-04-30 38:31:0
2023Q1_day1,cortex sentiment,-1.166345507,2026-04-30 38:31:0
2023Q1_day1,earnings surprise pct,1.851362266,2026-04-30 38:31:0
2023Q1_day1,actual eps,1.361407036,2026-04-30 38:31:0
2023Q1_day1,operating margin,0.381466528,2026-04-30 38:31:0
2023Q1_day1,guidance surprise pct,1.233003238,2026-04-30 38:31:0
2023Q1_day1,guidance eps,0.122568937,2026-04-30 38:31:0
2023Q1_day1,china rev yoy,-0.15735608,2026-04-30 38:31:0
2023Q1_day1,revenue qoq,0.146812368,2026-04-30 38:31:0
2023Q1_day1,beta sp500,-0.366638343,2026-04-30 38:31:0
2023Q1_day1,beta sp500 it,0.213899529,2026-04-30 38:31:0
2023Q1_day1,beta nasdaq,-0.072097619,2026-04-30 38:31:0
2023Q1_day1,cadence return 30d,-0.112446242,2026-04-30 38:31:0
2023Q1_day1,siemens return 30d,0.21328799,2026-04-30 38:31:0
2023Q1_day1,vix,-0.177868344,2026-04-30 38:31:0
2023Q1_day1,vix change 30d,-0.580483083,2026-04-30 38:31:0
2023Q1_day1,high volatility,0.179664902,2026-04-30 38:31:0
2023Q1_day1,cpi,-0.324318998,2026-04-30 38:31:0
2023Q1_day1,unemployment rate,0.184780682,2026-04-30 38:31:0
2023Q1_day1,analyst sentiment score,-0.144139245,2026-04-30 38:31:0
2023Q1_day1,analyst consensus strength,-0.092863932,2026-04-30 38:31:0
2023Q1_day1,analyst bullish ratio,0.097839907,2026-04-30 38:31:0
2023Q1_day2,analyst bearish ratio,-0.375334073,2026-04-30 38:31:0
2023Q1_day2,analyst coverage,0.277208106,2026-04-30 38:31:0
2023Q1_day2,analyst rating momentum,-0.055470641,2026-04-30 38:31:0
2023Q1_day2,analyst positive momentum,-0.156816906,2026-04-30 38:31:0
2023Q1_day2,analyst price target upside,0.359801845,2026-04-30 38:31:0
2023Q1_day2,reaction days,0.009131262,2026-04-30 38:31:0
2023Q1_day2,cortex sentiment,-1.345076778,2026-04-30 38:31:0
2023Q1_day2,earnings surprise pct,-0.133977504,2026-04-30 38:31:0
2023Q1_day2,actual eps,1.163605971,2026-04-30 38:31:0
2023Q1_day2,operating margin,-0.384128806,2026-04-30 38:31:0
2023Q1_day2,guidance surprise pct,1.852876509,2026-04-30 38:31:0
2023Q1_day2,guidance eps,-0.449157645,2026-04-30 38:31:0
2023Q1_day2,china rev yoy,0.50893691,2026-04-30 38:31:0
2023Q1_day2,revenue qoq,0.06330524,2026-04-30 38:31:0
2023Q1_day2,beta sp500,-0.029013934,2026-04-30 38:31:0
2023Q1_day2,beta sp500 it,-0.163475726,2026-04-30 38:31:0
2023Q1_day2,beta nasdaq,0.119740834,2026-04-30 38:31:0
2023Q1_day2,cadence return 30d,-0.011290411,2026-04-30 38:31:0
2023Q1_day2,siemens return 30d,0.330990565,2026-04-30 38:31:0
2023Q1_day2,vix,-0.342886176,2026-04-30 38:31:0
2023Q1_day2,vix change 30d,-0.324849119,2026-04-30 38:31:0
2023Q1_day2,high volatility,-0.581806106,2026-04-30 38:31:0
2023Q1_day2,cpi,-0.017083687,2026-04-30 38:31:0
2023Q1_day2,unemployment rate,0.092340531,2026-04-30 38:31:0
2023Q1_day2,analyst sentiment score,-1.526101036,2026-04-30 38:31:0
2023Q1_day2,analyst consensus strength,-0.404455627,2026-04-30 38:31:0
2023Q1_day2,analyst bullish ratio,0.222979228,2026-04-30 38:31:0
2023Q1_day3,analyst bearish ratio,0.051259631,2026-04-30 38:31:0
2023Q1_day3,analyst coverage,-0.055195001,2026-04-30 38:31:0
2023Q1_day3,analyst rating momentum,0.00553018,2026-04-30 38:31:0
2023Q1_day3,analyst positive momentum,0.104274512,2026-04-30 38:31:0
2023Q1_day3,analyst price target upside,0.042048064,2026-04-30 38:31:0
2023Q1_day3,reaction days,-0.005660945,2026-04-30 38:31:0
2023Q1_day3,cortex sentiment,-0.382492847,2026-04-30 38:31:0
2023Q1_day3,earnings surprise pct,0.212976333,2026-04-30 38:31:0
2023Q1_day3,actual eps,1.044951653,2026-04-30 38:31:0
2023Q1_day3,operating margin,-0.510775081,2026-04-30 38:31:0
2023Q1_day3,guidance surprise pct,1.417493382,2026-04-30 38:31:0
2023Q1_day3,guidance eps,1.083558489,2026-04-30 38:31:0
2023Q1_day3,china rev yoy,0.07680892,2026-04-30 38:31:0
2023Q1_day3,revenue qoq,0.294807295,2026-04-30 38:31:0
2023Q1_day3,beta sp500,0.499642333,2026-04-30 38:31:0
2023Q1_day3,beta sp500 it,0.30431102,2026-04-30 38:31:0
2023Q1_day3,beta nasdaq,-0.552262269,2026-04-30 38:31:0
2023Q1_day3,cadence return 30d,-0.38387309,2026-04-30 38:31:0
2023Q1_day3,siemens return 30d,-0.187445573,2026-04-30 38:31:0
2023Q1_day3,vix,-0.386954475,2026-04-30 38:31:0
2023Q1_day3,vix change 30d,-0.14117049,2026-04-30 38:31:0
2023Q1_day3,high volatility,-0.762871907,2026-04-30 38:31:0
2023Q1_day3,cpi,0.056030029,2026-04-30 38:31:0
2023Q1_day3,unemployment rate,-0.22661488,2026-04-30 38:31:0
2023Q1_day3,analyst sentiment score,-0.866910682,2026-04-30 38:31:0
2023Q1_day3,analyst consensus strength,-0.421998329,2026-04-30 38:31:0
2023Q1_day3,analyst bullish ratio,-0.276969974,2026-04-30 38:31:0
2023Q1_day4,analyst bearish ratio,-0.405505382,2026-04-30 38:31:0
2023Q1_day4,analyst coverage,-0.292761976,2026-04-30 38:31:0
2023Q1_day4,analyst rating momentum,0.316092539,2026-04-30 38:31:0
2023Q1_day4,analyst positive momentum,-0.284819667,2026-04-30 38:31:0
2023Q1_day4,analyst price target upside,0.676476413,2026-04-30 38:31:0
2023Q1_day4,reaction days,0.24866358,2026-04-30 38:31:0
2023Q1_day4,cortex sentiment,-0.389098326,2026-04-30 38:31:0
2023Q1_day4,earnings surprise pct,0.284985332,2026-04-30 38:31:0
2023Q1_day4,actual eps,1.220185928,2026-04-30 38:31:0
2023Q1_day4,operating margin,-0.172691348,2026-04-30 38:31:0
2023Q1_day4,guidance surprise pct,0.873205889,2026-04-30 38:31:0
2023Q1_day4,guidance eps,2.336050723,2026-04-30 38:31:0
2023Q1_day4,china rev yoy,-0.02881797,2026-04-30 38:31:0
2023Q1_day4,revenue qoq,0.344781998,2026-04-30 38:31:0
2023Q1_day4,beta sp500,-0.210952928,2026-04-30 38:31:0
2023Q1_day4,beta sp500 it,-0.010496547,2026-04-30 38:31:0
2023Q1_day4,beta nasdaq,0.531240191,2026-04-30 38:31:0
2023Q1_day4,cadence return 30d,-0.188090117,2026-04-30 38:31:0
2023Q1_day4,siemens return 30d,0.543734567,2026-04-30 38:31:0
2023Q1_day4,vix,-0.046124032,2026-04-30 38:31:0
2023Q1_day4,vix change 30d,-0.681233388,2026-04-30 38:31:0
2023Q1_day4,high volatility,-0.08379613,2026-04-30 38:31:0
2023Q1_day4,cpi,0.291766335,2026-04-30 38:31:0
2023Q1_day4,unemployment rate,0.186542989,2026-04-30 38:31:0
2023Q1_day4,analyst sentiment score,-1.442134832,2026-04-30 38:31:0
2023Q1_day4,analyst consensus strength,-0.218141153,2026-04-30 38:31:0
2023Q1_day4,analyst bullish ratio,-0.074255591,2026-04-30 38:31:0
2023Q1_day5,analyst bearish ratio,-0.022330029,2026-04-30 38:31:0
2023Q1_day5,analyst coverage,0.186201629,2026-04-30 38:31:0
2023Q1_day5,analyst rating momentum,0.0533103,2026-04-30 38:31:0
2023Q1_day5,analyst positive momentum,-0.400603308,2026-04-30 38:31:0
2023Q1_day5,analyst price target upside,0.22603957,2026-04-30 38:31:0
2023Q1_day5,reaction days,0.272117149,2026-04-30 38:31:0
2023Q1_day5,cortex sentiment,-0.164125731,2026-04-30 38:31:0
2023Q1_day5,earnings surprise pct,1.448468435,2026-04-30 38:31:0
2023Q1_day5,actual eps,1.300353293,2026-04-30 38:31:0
2023Q1_day5,operating margin,0.137754024,2026-04-30 38:31:0
2023Q1_day5,guidance surprise pct,0.757900573,2026-04-30 38:31:0
2023Q1_day5,guidance eps,-0.19657656,2026-04-30 38:31:0
